city,lon,lat,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,rain_1h,clouds_all,sunrise,sunset
Nakina,-86.7107,50.1789,804,Clouds,overcast clouds,-3.57,-8.43,-3.57,-3.57,1014,70,10000.0,3.7,318,0.0,96,1732367633,1732398798
Hornepayne,-84.7705,49.2138,804,Clouds,overcast clouds,-3.26,-7.66,-3.26,-3.26,1012,83,10000.0,3.26,321,0.0,91,1732366947,1732398553
Hearst,-83.6665,49.6835,804,Clouds,overcast clouds,-2.28,-6.92,-2.28,-2.28,1011,86,6768.0,3.79,309,0.0,100,1732366787,1732398183
Smooth Rock Falls,-81.6331,49.2835,600,Snow,light snow,-1.54,-6.33,-1.54,-1.54,1009,96,,4.21,298,0.0,100,1732366208,1732397785
Kapuskasing,-82.4331,49.4169,804,Clouds,overcast clouds,-2.0,-8.08,-2.0,-1.95,1010,100,10000.0,6.17,320,0.0,100,1732366431,1732397947
Opasatika,-82.8665,49.5335,804,Clouds,overcast clouds,-2.38,-7.16,-2.38,-2.38,1011,91,7226.0,3.94,306,0.0,100,1732366561,1732398025
Missanabie,-84.0831,48.3168,804,Clouds,overcast clouds,-1.0,-4.53,-1.0,-1.0,1012,78,10000.0,2.82,321,0.0,100,1732366586,1732398584
Dubreuilville,-84.551,48.3491,804,Clouds,overcast clouds,-1.18,-4.38,-1.18,-1.18,1012,87,2202.0,2.46,314,0.0,100,1732366705,1732398690
Chapleau,-83.4034,47.8405,803,Clouds,broken clouds,-0.95,-3.64,-0.95,-0.95,1011,93,10000.0,2.06,310,0.0,75,1732366321,1732398522
Sudbury,-80.99,46.49,804,Clouds,overcast clouds,2.81,0.14,1.54,2.81,1009,85,10000.0,2.68,275,0.0,100,1732365467,1732398218
Val Caron,-81.0074,46.6103,804,Clouds,overcast clouds,1.4,-2.96,1.4,2.68,1009,86,10000.0,4.63,320,0.0,100,1732365495,1732398198
Hanmer,-80.9448,46.6531,804,Clouds,overcast clouds,1.33,-3.04,1.33,2.6,1009,86,10000.0,4.63,320,0.0,100,1732365489,1732398174
Capreol,-80.9225,46.706,804,Clouds,overcast clouds,1.26,-3.13,1.26,2.53,1009,86,10000.0,4.63,320,0.0,100,1732365494,1732398159
Chelmsford,-81.1998,46.5834,804,Clouds,overcast clouds,2.8,-0.95,2.8,2.8,1009,75,10000.0,4.18,323,0.0,100,1732365536,1732398249
Azilda,-81.1148,46.5521,804,Clouds,overcast clouds,2.76,-1.08,1.49,2.76,1009,85,10000.0,4.3,321,0.0,100,1732365509,1732398235
Garson,-80.8641,46.5559,804,Clouds,overcast clouds,1.39,-2.97,1.39,2.66,1009,86,10000.0,4.63,320,0.0,100,1732365450,1732398174
Lively,-81.1498,46.4334,804,Clouds,overcast clouds,2.79,-0.83,2.79,2.79,1009,85,10000.0,3.96,321,0.0,100,1732365494,1732398267
Copper Cliff,-81.0664,46.4668,804,Clouds,overcast clouds,2.81,-0.92,1.53,2.81,1009,85,10000.0,4.14,320,0.0,100,1732365481,1732398241
Dowling,-81.3342,46.5865,804,Clouds,overcast clouds,1.31,-2.65,1.31,1.31,1009,76,10000.0,3.97,326,0.0,100,1732365569,1732398281
Onaping,-81.4156,46.6234,804,Clouds,overcast clouds,0.71,-3.44,0.71,0.71,1009,78,10000.0,4.04,327,0.0,100,1732365596,1732398293
Levack,-81.3831,46.6334,804,Clouds,overcast clouds,0.81,-3.34,0.81,0.81,1009,77,10000.0,4.08,326,0.0,100,1732365590,1732398284
Espanola,-81.7665,46.2584,804,Clouds,overcast clouds,2.93,-0.42,2.93,2.93,1009,73,10000.0,3.6,302,0.0,100,1732365608,1732398449
Little Current,-81.9248,45.9793,804,Clouds,overcast clouds,3.59,1.07,3.59,3.59,1010,72,10000.0,2.68,36,0.0,100,1732365592,1732398542
Manitowaning,-81.8104,45.743,804,Clouds,overcast clouds,4.7,1.28,3.62,4.7,1010,67,10000.0,4.38,297,0.0,100,1732365519,1732398560
Wikwemikong,-81.7122,45.808,804,Clouds,overcast clouds,3.45,-1.07,3.45,4.54,1010,66,10000.0,6.0,303,0.0,100,1732365508,1732398524
Massey,-82.0831,46.2001,804,Clouds,overcast clouds,3.03,-0.99,3.03,3.03,1010,70,10000.0,4.74,304,0.0,100,1732365673,1732398537
Blind River,-82.9582,46.1834,804,Clouds,overcast clouds,3.26,-1.36,3.26,3.26,1011,68,10000.0,6.11,310,0.0,100,1732365880,1732398750
Elliot Lake,-82.6331,46.3834,804,Clouds,overcast clouds,1.37,-2.01,1.37,1.37,1010,76,10000.0,3.19,308,0.0,100,1732365841,1732398633
Thessalon,-83.5666,46.2501,804,Clouds,overcast clouds,2.3,-2.26,2.3,2.3,1011,86,10000.0,5.42,308,0.0,99,1732366039,1732398883
Iron Bridge,-83.2202,46.279,804,Clouds,overcast clouds,2.95,-1.45,2.95,2.95,1011,70,10000.0,5.45,310,0.0,100,1732365961,1732398794
Desbarats,-83.9332,46.3334,804,Clouds,overcast clouds,1.92,-1.76,1.92,1.92,1012,95,,3.76,303,0.0,100,1732366143,1732398954
Sault Ste. Marie,-84.3333,46.5168,804,Clouds,overcast clouds,3.16,-2.63,2.9,3.16,1012,87,10000.0,9.26,280,0.0,100,1732366276,1732399014
Prince,-108.3847,52.9669,601,Snow,snow,-8.91,-15.91,-8.91,-8.91,1018,94,136.0,6.05,73,0.0,100,1732373541,1732403296
Bruce Mines,-83.7999,46.3001,804,Clouds,overcast clouds,1.92,-1.95,1.92,1.92,1012,95,,4.04,306,0.0,100,1732366105,1732398929
Ruthven,-82.6706,42.0521,804,Clouds,overcast clouds,6.54,4.67,5.93,6.6,1014,42,10000.0,2.57,270,0.0,100,1732365067,1732399425
Amherstburg,-83.0499,42.1168,804,Clouds,overcast clouds,6.57,3.02,6.06,7.21,1014,76,10000.0,5.66,290,0.0,100,1732365169,1732399505
LaSalle,-73.6352,45.4304,804,Clouds,overcast clouds,6.14,2.48,5.56,6.64,1000,77,10000.0,5.66,300,0.0,100,1732363496,1732396658
Windsor,-83.0165,42.3001,804,Clouds,overcast clouds,7.01,3.58,6.14,7.2,1014,80,10000.0,5.66,290,0.0,100,1732365192,1732399466
Tecumseh,-82.8998,42.3168,804,Clouds,overcast clouds,7.1,3.69,6.17,7.23,1014,82,10000.0,5.66,290,0.0,100,1732365166,1732399435
Kingsville,-82.7387,42.0376,804,Clouds,overcast clouds,6.59,4.73,6.03,6.7,1014,44,10000.0,2.57,270,0.0,100,1732365081,1732399443
Leamington,-82.6062,42.0549,804,Clouds,overcast clouds,6.71,5.57,6.04,6.71,1014,30,10000.0,1.79,298,0.0,100,1732365052,1732399409
Essex,-82.8248,42.1751,804,Clouds,overcast clouds,6.6,3.06,5.99,7.12,1014,65,10000.0,5.66,290,0.0,100,1732365125,1732399441
Harrow,-82.9165,42.0334,804,Clouds,overcast clouds,6.12,4.17,6.02,6.97,1014,71,10000.0,2.57,270,0.0,100,1732365123,1732399487
Colchester,-82.9324,41.9855,804,Clouds,overcast clouds,6.11,4.16,6.07,6.96,1014,79,10000.0,2.57,270,0.0,100,1732365119,1732399498
Blenheim,-81.9998,42.3334,804,Clouds,overcast clouds,5.9,3.2,5.9,5.9,1014,87,10000.0,3.6,280,0.0,100,1732364953,1732399217
Chatham-Kent,-82.1831,42.4001,804,Clouds,overcast clouds,6.11,3.45,6.11,6.11,1014,87,10000.0,3.6,280,0.0,100,1732365008,1732399249
Banff,-115.5698,51.1762,804,Clouds,overcast clouds,-14.79,-14.79,-22.43,-14.79,1026,85,5837.0,1.03,50,0.0,96,1732461299,1732491823
Canmore,-115.3521,51.0834,804,Clouds,overcast clouds,-21.94,-26.6,-21.94,-20.66,1027,99,7805.0,1.44,240,0.0,98,1732461224,1732491794
Collingwood,-80.2164,44.4834,803,Clouds,broken clouds,1.02,-1.42,-0.66,1.16,1018,87,10000.0,2.13,317,0.0,61,1732451376,1732484773
Moose Jaw,-105.5344,50.4001,804,Clouds,overcast clouds,-14.86,-21.86,-14.86,-14.86,1027,85,8074.0,6.69,280,0.0,100,1732458698,1732489606
Prince Albert,-105.7677,53.2001,600,Snow,light snow,-13.03,-20.03,-13.03,-13.03,1028,78,4828.0,4.12,10,0.0,100,1732459477,1732488939
Lloydminster,-110.0016,53.2835,801,Clouds,few clouds,-16.88,-23.88,-16.88,-16.88,1032,92,10000.0,3.6,310,0.0,20,1732460518,1732489932
Fort Saskatchewan,-113.2187,53.7168,804,Clouds,overcast clouds,-13.63,-13.63,-13.64,-13.45,1033,78,2924.0,0.51,300,0.0,97,1732461413,1732490580
Spruce Grove,-113.9187,53.5334,804,Clouds,overcast clouds,-14.25,-14.25,-14.98,-14.15,1033,85,10000.0,0.0,0,0.0,100,1732461529,1732490801
Stony Plain,-114.0021,53.5334,804,Clouds,overcast clouds,-14.26,-14.26,-14.98,-14.15,1033,85,10000.0,0.0,0,0.0,100,1732461549,1732490821
Leduc,-113.552,53.2668,600,Snow,light snow,-15.06,-19.02,-15.12,-14.29,1034,85,10000.0,1.54,280,0.0,100,1732461366,1732490788
Beaumont,-113.4187,53.3501,600,Snow,light snow,-14.93,-18.88,-15.09,-14.26,1033,85,10000.0,1.54,290,0.0,100,1732461357,1732490732
Airdrie,-114.0353,51.3001,802,Clouds,scattered clouds,-18.84,-23.37,-19.2,-17.84,1035,100,10000.0,1.55,252,0.0,26,1732460961,1732491424
Cochrane,-114.4687,51.1834,802,Clouds,scattered clouds,-18.89,-25.52,-20.85,-18.22,1035,51,10000.0,2.57,170,0.0,40,1732461036,1732491557
Okotoks,-113.9828,50.7289,803,Clouds,broken clouds,-18.14,-22.86,-18.93,-17.73,1035,100,6965.0,1.67,235,0.0,82,1732460808,1732491553
Chestermere,-113.8187,51.0334,801,Clouds,few clouds,-18.45,-24.07,-20.23,-17.44,1036,84,10000.0,2.06,50,0.0,20,1732460843,1732491439
High River,-113.8687,50.5834,803,Clouds,broken clouds,-17.89,-22.16,-19.39,-17.89,1035,100,8410.0,1.5,243,0.0,74,1732460745,1732491561
Blackfalds,-113.7853,52.3834,804,Clouds,overcast clouds,-16.85,-16.85,-16.85,-16.85,1035,100,5340.0,1.01,225,0.0,90,1732461181,1732491084
Sylvan Lake,-114.0853,52.3168,804,Clouds,overcast clouds,-17.24,-17.24,-17.24,-17.24,1035,85,10000.0,1.03,0,0.0,100,1732461236,1732491174
Olds,-114.102,51.7834,802,Clouds,scattered clouds,-22.53,-28.49,-22.53,-17.92,1035,100,10000.0,1.91,229,0.0,45,1732461100,1732491317
Drayton Valley,-114.9854,53.2168,804,Clouds,overcast clouds,-18.84,-18.84,-18.84,-18.84,1033,99,8349.0,1.18,173,0.0,91,1732461696,1732491145
Grande Prairie,-118.8027,55.1667,803,Clouds,broken clouds,-18.9,-23.41,-18.9,-18.9,1032,84,10000.0,1.54,340,0.0,75,1732463190,1732491485
Medicine Hat,-110.6683,50.0501,801,Clouds,few clouds,-20.76,-26.76,-20.76,-20.45,1035,84,10000.0,2.06,230,0.0,20,1732459849,1732490920
Brooks,-111.8851,50.5834,802,Clouds,scattered clouds,-23.01,-23.01,-25.21,-23.01,1036,84,10000.0,1.03,250,0.0,27,1732460268,1732491085
Taber,-112.1518,49.8167,802,Clouds,scattered clouds,-25.0,-30.38,-25.0,-25.0,1036,77,7750.0,1.54,230,0.0,42,1732460150,1732491331
Crowsnest Pass,-114.4752,49.6287,804,Clouds,overcast clouds,-13.01,-18.54,-15.85,-13.01,1031,78,2803.0,2.57,150,0.0,100,1732460665,1732491932
Innisfail,-113.9507,52.0269,804,Clouds,overcast clouds,-17.34,-17.34,-17.34,-17.34,1035,85,10000.0,1.03,0,0.0,100,1732461127,1732491218
Camrose,-112.8353,53.0168,804,Clouds,overcast clouds,-21.26,-25.63,-21.26,-21.26,1034,100,3499.0,1.37,306,0.0,95,1732461124,1732490685
Wetaskiwin,-113.3687,52.9668,804,Clouds,overcast clouds,-15.33,-15.33,-15.33,-15.29,1034,100,2999.0,1.2,256,0.0,99,1732461239,1732490827
Wainwright,-110.8572,52.839,804,Clouds,overcast clouds,-20.68,-25.71,-20.68,-20.68,1033,100,3284.0,1.64,327,0.0,100,1732460600,1732490259
Stettler,-112.7186,52.3168,804,Clouds,overcast clouds,-23.18,-28.6,-23.18,-23.18,1035,100,3188.0,1.65,273,0.0,99,1732460907,1732490846
Vermilion,-110.8517,53.3669,804,Clouds,overcast clouds,-17.88,-22.25,-17.88,-17.88,1032,85,4122.0,1.54,290,0.0,100,1732460745,1732490112
Cold Lake,-110.2017,54.4502,600,Snow,light snow,-14.03,-21.03,-14.03,-14.03,1031,85,6437.0,3.6,320,0.0,100,1732460903,1732489642
Bonnyville,-110.735,54.2668,804,Clouds,overcast clouds,-14.11,-14.11,-14.11,-14.11,1032,99,2607.0,0.58,147,0.0,100,1732460977,1732489824
Whitecourt,-115.6855,54.1502,600,Snow,light snow,-15.42,-19.44,-15.42,-15.42,1030,85,3219.0,1.54,320,0.0,100,1732462132,1732491046
Hinton,-117.5857,53.4001,804,Clouds,overcast clouds,-13.94,-13.94,-13.94,-13.94,1029,98,4197.0,0.9,113,0.0,100,1732462373,1732491718
Edson,-116.4356,53.5835,600,Snow,light snow,-14.94,-18.89,-14.94,-14.92,1030,85,10000.0,1.54,100,0.0,75,1732462148,1732491390
Jasper,-118.0857,52.8833,804,Clouds,overcast clouds,-13.7,-18.52,-13.7,-13.63,1027,83,8573.0,2.06,30,0.0,91,1732462349,1732491981
Peace River,-117.286,56.2501,800,Clear,clear sky,-24.83,-24.83,-24.83,-24.83,1033,76,10000.0,0.0,0,0.0,0,1732463177,1732490769
Slave Lake,-114.769,55.2834,600,Snow,light snow,-14.01,-18.88,-14.01,-14.01,1031,72,10000.0,2.06,280,0.0,100,1732462257,1732490481
Fort McMurray,-111.381,56.7268,600,Snow,light snow,-17.27,-21.55,-18.23,-17.27,1033,78,10000.0,1.54,220,0.0,100,1732461921,1732489190
High Level,-117.136,58.5169,802,Clouds,scattered clouds,-20.94,-27.94,-20.94,-20.94,1030,84,10000.0,2.57,150,0.0,40,1732463968,1732489906
Lac La Biche,-111.9686,54.7669,804,Clouds,overcast clouds,-17.08,-17.08,-17.08,-15.72,1032,85,6467.0,0.51,330,0.0,96,1732461424,1732489970
Athabasca,-113.2854,54.7169,804,Clouds,overcast clouds,-16.12,-16.12,-16.12,-16.12,1032,99,1538.0,0.8,15,0.0,95,1732461725,1732490301
Morinville,-113.652,53.8001,804,Clouds,overcast clouds,-14.12,-14.12,-14.31,-14.12,1033,85,10000.0,0.0,0,0.0,100,1732461541,1732490660
Westlock,-113.8688,54.1502,804,Clouds,overcast clouds,-17.68,-17.68,-17.68,-17.68,1033,100,2221.0,0.48,87,0.0,98,1732461695,1732490610
Barrhead,-114.4021,54.1335,804,Clouds,overcast clouds,-17.18,-17.18,-17.18,-17.18,1032,99,2265.0,0.47,158,0.0,96,1732461819,1732490743
Smoky Lake,-112.4686,54.1169,804,Clouds,overcast clouds,-23.91,-23.91,-23.91,-23.91,1032,100,2980.0,0.81,5,0.0,95,1732461349,1732490284
Elk Point,-110.9017,53.9002,804,Clouds,overcast clouds,-18.0,-18.0,-18.0,-18.0,1032,100,5008.0,0.64,42,0.0,100,1732460909,1732489972
St. Paul,-111.2851,53.9835,804,Clouds,overcast clouds,-18.82,-23.14,-18.82,-18.82,1032,100,2516.0,1.47,40,0.0,99,1732461026,1732490039
Two Hills,-111.7518,53.7169,804,Clouds,overcast clouds,-19.08,-24.8,-23.93,-18.73,1033,84,1287.0,2.06,300,0.0,98,1732461061,1732490228
Vegreville,-112.0518,53.5001,804,Clouds,overcast clouds,-21.98,-28.98,-22.97,-18.83,1033,84,1213.0,3.09,310,0.0,99,1732461071,1732490362
Lamont,-112.8019,53.7669,804,Clouds,overcast clouds,-19.78,-19.78,-19.78,-19.78,1033,100,2616.0,1.26,251,0.0,99,1732461328,1732490466
Fort Saskatchewan,-113.2187,53.7168,804,Clouds,overcast clouds,-13.63,-13.63,-13.64,-13.45,1033,78,2924.0,0.51,300,0.0,97,1732461413,1732490580
Beaverlodge,-119.4361,55.2166,803,Clouds,broken clouds,-19.36,-19.36,-19.36,-19.36,1034,100,4964.0,0.43,33,0.0,72,1732463358,1732491621
Fairview,-118.3861,56.0668,803,Clouds,broken clouds,-22.95,-28.04,-22.95,-22.95,1033,77,6732.0,1.54,130,0.0,65,1732463380,1732491094
Spirit River,-118.8361,55.7833,803,Clouds,broken clouds,-22.76,-28.17,-22.76,-22.76,1033,100,10000.0,1.67,200,0.0,61,1732463395,1732491296
Rycroft,-118.7195,55.75,803,Clouds,broken clouds,-22.68,-28.46,-22.68,-22.68,1033,100,10000.0,1.82,197,0.0,63,1732463356,1732491278
Valleyview,-117.2859,55.0667,804,Clouds,overcast clouds,-15.51,-15.51,-15.51,-15.51,1031,98,1617.0,0.91,93,0.0,99,1732462794,1732491152
Fox Creek,-116.8024,54.4001,804,Clouds,overcast clouds,-13.68,-13.68,-13.68,-13.68,1030,94,750.0,1.08,114,0.0,98,1732462474,1732491240
Mayerthorpe,-115.1355,53.9502,804,Clouds,overcast clouds,-15.58,-15.58,-15.58,-15.58,1032,99,3435.0,0.84,165,0.0,98,1732461941,1732490973
Onoway,-114.2021,53.7001,804,Clouds,overcast clouds,-14.21,-14.21,-14.32,-14.21,1033,100,3573.0,0.47,167,0.0,97,1732461645,1732490821
Swan Hills,-115.4023,54.7168,804,Clouds,overcast clouds,-14.78,-18.7,-14.78,-14.78,1030,94,486.0,1.54,133,0.0,100,1732462234,1732490808
Drumheller,-112.7101,51.4617,803,Clouds,broken clouds,-15.37,-19.38,-15.37,-15.37,1036,78,3993.0,1.54,260,0.0,84,1732460684,1732491066
Trochu,-113.2186,51.8334,803,Clouds,broken clouds,-23.66,-28.31,-23.66,-23.66,1036,100,7055.0,1.36,297,0.0,58,1732460901,1732491093
Three Hills,-113.2686,51.7001,802,Clouds,scattered clouds,-24.19,-29.34,-24.19,-24.19,1036,100,6890.0,1.5,282,0.0,47,1732460879,1732491139
Hanna,-111.9018,51.6334,803,Clouds,broken clouds,-22.18,-29.18,-22.18,-22.18,1035,100,4807.0,2.73,304,0.0,82,1732460533,1732490828
Rocky Mountain House,-114.9188,52.3668,803,Clouds,broken clouds,-14.94,-19.97,-14.94,-14.94,1034,78,10000.0,2.06,120,0.0,81,1732461449,1732491361
Sundre,-114.6353,51.8001,803,Clouds,broken clouds,-22.84,-22.84,-22.84,-22.84,1034,92,10000.0,0.51,210,0.0,73,1732461233,1732491441
Carstairs,-114.102,51.5668,802,Clouds,scattered clouds,-23.17,-29.02,-23.17,-22.65,1035,100,10000.0,1.82,229,0.0,37,1732461045,1732491373
Didsbury,-114.1353,51.6668,802,Clouds,scattered clouds,-22.47,-28.45,-22.99,-22.47,1035,100,10000.0,1.92,227,0.0,43,1732461078,1732491355
Crossfield,-114.0353,51.4334,802,Clouds,scattered clouds,-19.23,-24.02,-19.23,-18.47,1035,100,10000.0,1.63,240,0.0,26,1732460995,1732491391
Amherst,-64.1987,45.8335,804,Clouds,overcast clouds,4.19,-0.79,2.21,4.28,992,81,10000.0,7.72,290,0.0,100,1732447784,1732480675
Antigonish,-61.9986,45.6169,500,Rain,light rain,3.96,0.57,3.64,4.1,990,95,3474.0,4.02,256,0.25,100,1732447214,1732480189
Digby,-65.7655,44.6169,804,Clouds,overcast clouds,2.53,-3.85,2.53,2.61,998,78,10000.0,10.59,286,0.0,100,1732447930,1732481282
Kentville,-64.4988,45.0835,500,Rain,light rain,3.24,-0.94,3.14,4.28,994,93,7573.0,5.14,240,0.51,100,1732447712,1732480891
Bridgewater,-64.5155,44.3835,804,Clouds,overcast clouds,3.8,-1.63,3.39,4.82,996,87,10000.0,8.75,280,0.0,100,1732447586,1732481025
Summerside,-63.7876,46.3959,500,Rain,light rain,3.1,-2.01,2.84,3.71,990,100,166.0,7.2,300,0.25,100,1732447796,1732480466
Alberton,-64.0654,46.8168,500,Rain,light rain,3.95,-1.38,3.07,3.95,989,97,65.0,8.58,292,0.41,100,1732447947,1732480448
Corner Brook,-57.9484,48.9667,500,Rain,light rain,5.09,5.09,5.09,5.09,986,95,10000.0,1.2,54,0.12,100,1732533420,1732564875
Gander,-54.5906,48.9682,501,Rain,moderate rain,5.09,5.09,5.07,5.09,986,100,6437.0,0.0,0,1.55,100,1732532614,1732564069
Grand Falls-Windsor,-55.6649,48.9332,500,Rain,light rain,5.84,4.65,5.84,5.84,986,95,8348.0,1.71,225,0.51,100,1732532864,1732564335
Labrador City,-66.9114,52.9463,600,Snow,light snow,-0.46,-5.57,-1.05,-0.46,1003,98,4828.0,5.14,30,0.0,100,1732450071,1732479691
Baie-Comeau,-68.1489,49.2168,500,Rain,light rain,1.82,-0.93,1.82,1.82,996,100,10000.0,2.57,320,0.0,100,1732449441,1732480914
Rimouski,-68.524,48.4488,601,Snow,snow,1.82,-3.56,1.1,1.82,997,99,60.0,6.96,327,0.0,100,1732449361,1732481174
Rouyn-Noranda,-79.0288,48.2398,804,Clouds,overcast clouds,-4.95,-10.02,-4.95,-4.95,1017,93,9656.0,3.6,280,0.0,100,1732451840,1732483739
Sept-Îles,-66.3821,50.2001,500,Rain,light rain,3.93,0.47,3.24,4.0,995,90,10000.0,4.12,20,0.25,100,1732449244,1732480263
